-0.9611547799	0.007168736687	0.2759168322	0.5702953228
0.06551169162	0.977021076	0.2028251349	-0.5963530467
-0.2681225603	0.2130221263	-0.9395381133	4.701887398
0	0	0	1
-0.9868754955	0.0501593485	0.1534952643	-0.3001909454
0.001490623574	0.9533243079	-0.301944601	0.1361315493
-0.161476111	-0.297752924	-0.9408871674	4.957694949
0	0	0	1
-0.9314972008	0.1464500969	0.3329644636	0.6246873202
0.2777292184	0.8774770844	0.3910248682	-0.5742008583
-0.2349030569	0.4567125304	-0.8580409189	4.99672784
0	0	0	1
-0.9707031605	-0.08610756314	0.2243231193	0.5443344193
0.00351195617	0.9283991639	0.3715678386	-0.1406543826
-0.2402561975	0.3614698882	-0.9008975965	5.005457907
0	0	0	1
-0.9035244017	0.2361194759	0.3576188593	0.1260778321
0.3253665863	0.9210790625	0.2138923681	-1.264370272
-0.2788910898	0.3096142014	-0.9090427968	4.824016284
0	0	0	1
